項次,縣市,流向編號,場所名稱,地址,功能,場所類別,面積(m²),B1~B7核准填埋量(m³),B1~B7剩餘填埋量(m³),B1~B7核准處理量/年(m³),B6~B7核准處理量/年(m³),營運期限,收受土質,latitude,longitude,geocode_status
1,台北市,DCE05273,好名賸餘土石方及營建混合物資源處理場,台北市文山區木柵路5段58號,加工型、轉運型,私人團體設置土資場,8335.0,0.0,0.0,280000.0,0,2018/12/11~2026/12/31,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
2,台北市,DDA20254,亞太營建賸餘土石方及營建混合物資源處理場,台北市北投區大度路29號,加工型、轉運型,私人團體設置土資場,32315.0,0.0,0.0,641664.0,259200,2016/03/18~2027/12/31,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
3,台北市,DDK15004,德展土石方及營建混合物處理場,台北市北投區承德路七段393巷91號,轉運型,私人團體設置土資場,7301.0,0.0,0.0,402168.0,0,2017/03/28~2027/05/20,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
4,台北市,DFD28817,國際土石方資源堆置處理場,台北市北投區大度路三段151號,加工型、轉運型,私人團體設置土資場,13773.05,0.0,0.0,1113024.0,523776,2022/10/08~2027/10/07,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
5,台北市,DOC10111,天邑營建賸餘土石方資源再生處理場,台北市士林區延平北路七段176巷198號,加工型、轉運型,私人團體設置土資場,3125.0,0.0,0.0,432000.0,0,2015/03/03~2028/12/31,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
6,台北市,DOC17717,華冠賸餘土石方資源場,台北市北投區大度路27號,加工型、轉運型,私人團體設置土資場,3455.0,0.0,0.0,665280.0,0,~2029/01/14,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
7,台北市,DUG09011,浤欣賸餘土石方及營建混合物處理場,台北市北投區立賢路111號,加工型、轉運型,土資場兼營混合物,9791.45,0.0,0.0,308880.0,0,2024/10/08~2027/06/04,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
8,台北市,DYG01896,恆光橋土石方資源再生處理場,台北市北投區,加工型,私人團體設置土資場,7711.0,0.0,0.0,158400.0,0,2025/06/24~2028/06/23,B1、B2-1、B2-2、B2-3、B3、B4、B5,25.132419,121.501379,OK
9,新北市,DXG02769,萬達發營建剩餘土石方資源處理場,新北市八里區商港五路75號,加工型,私人團體設置土資場,7272.33,0.0,0.0,297990.0,0,2024/07/01~2029/07/01,B1、B2-1、B2-2、B2-3、B5,,,NOT_FOUND
10,新北市,DXE28518,亞泰營建剩餘土石方資源處理場,新北市林口區太平里12鄰汕頭3號,加工型,私人團體設置土資場,2196.671,0.0,0.0,726350.0,0,2024/05/23~2029/05/19,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
12,新北市,DPD15086,新五營建剩餘土石方資源處理場,新北市五股區新五路二段118號之1,加工型,私人團體設置土資場,10643.0,0.0,0.0,361350.0,0,2016/04/14~2026/04/13,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
13,新北市,DOL17531,宗記營建剩餘土石方資源處理場,新北市三峽區介壽路3段115號,加工型,私人團體設置土資場,3502.73,0.0,0.0,292000.0,0,2015/10/06~2026/10/05,B1、B2-1、B2-2、B2-3、B3、B5、B6、B7,,,NOT_FOUND
14,新北市,DNL31071,嘉寶營建剩餘土石方資源處理場,新北市林口區台15(西濱)公路17.5k附近,加工型,私人團體設置土資場,3257.0,0.0,0.0,361350.0,0,2022/12/29~2025/12/28,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
15,新北市,DJA15790,興磊營建剩餘土石方資源處理場,新北市樹林區田尾街31號之1,加工型,私人團體設置土資場,17275.44,0.0,0.0,620500.0,620500,2010/01/13~2026/01/12,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
17,新北市,DGA02356,長惟工業營建剩餘土石方資源處理場,新北市鶯歌區中正三路156巷,加工型,私人團體設置土資場,9584.05,0.0,0.0,361350.0,0,2006/12/29~2026/09/01,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,24.9396271,121.3336259,OK
18,新北市,DGH15963,萬里中幅子土石方收容場(最終填埋),新北市萬里區中福路6-2號,填埋型,私人團體設置土資場,182625.0,2874733.0,994648.2,766500.0,0,2021/08/16~2027/08/15,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
19,新北市,DIA22915,長聯富企業有限公司樹林廠,新北市樹林區八德街228-1號,加工型,私人團體設置土資場,7332.62,0.0,0.0,505890.0,0,2024/03/08~2027/03/07,B1、B2-1、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
20,新北市,DIA22622,樹林彭福段彭厝小段土石方資源堆置場,新北市樹林區環漢路5段2-2號,加工型,私人團體設置土資場,4014.0,0.0,0.0,182500.0,0,2023/01/15~2026/01/14,B1、B2-1、B2-2、B5,,,NOT_FOUND
21,新北市,DCK13097,遠嘉土石方資源堆置處理場,新北市樹林區東豐街30號,加工型,私人團體設置土資場,8439.14,0.0,0.0,547500.0,0,2019/11/14~2029/03/18,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
22,新北市,DEK17090,林口後坑土石方資源堆置場,新北市林口區太平里23之12號隔壁(北80縣道),填埋型,私人團體設置土資場,408982.1,9041300.9,1233229.4,1635200.0,0,2005/11/16~2029/07/31,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6,,,NOT_FOUND
23,新北市,DEL22767,淳家土石方資源堆置場,新北市林口區東華路臨101之1號(台15西濱22K),加工型,私人團體設置土資場,44330.98,0.0,0.0,730000.0,0,2024/11/15~2027/11/14,B1、B2-1、B2-2、B2-3、B3、B4、B5、B6、B7,,,NOT_FOUND
24,新北市,DCF02529,元記實業營建剩餘土石方處理場,新北市鶯歌區中湖路258巷8號,加工型,私人團體設置土資場,17259.0,0.0,0.0,363540.0,0,2025/01/08~2030/01/09,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
25,基隆市,DMJ30109,基隆市信義區大水窟段月眉土石方資源堆置處理場(簡稱:月眉土資場),基隆市信義區六和街1之1號,填埋型,私人團體設置土資場,456150.5,8240036.0,3408983.0,768000.0,0,2024/01/01~2028/12/31,B1、B2-1、B2-2、B2-3、B3、B4、B5,,,NOT_FOUND
