county,fac_no,fac_name,fac_addr,audittype,userclass,deadline_start_date,deadline_end_date,waste_no,waste_name,waste_source,reu_purp_notes,waste_reu_value,totalqty_unit
新竹縣,J57A1884,宏昌牧場,(305)新竹縣新埔鎮汶水坑段五六一、五六二、五六三地號,公告/附表,內政部(營造業),20220122,20270122,R-0105,廢酒糟、酒粕、酒精醪,公告可直接再利用；食品及飲料製造業在酒類釀造配製製程產生之廢酒糟、酒粕或酒精醪。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,11,公噸/月
新竹縣,J57A1884,宏昌牧場,(305)新竹縣新埔鎮汶水坑段五六一、五六二、五六三地號,公告/附表,內政部(營造業),20220122,20270122,R-0120,植物性廢渣,公告可直接再利用：食品及飲料製造業在生產製程中所產生之植物性廢渣，其廢渣不得經化學處理，且不得含廢水處理之污泥。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,20.2,公噸/月
新竹縣,J57A1884,宏昌牧場,(305)新竹縣新埔鎮汶水坑段五六一、五六二、五六三地號,公告/附表,內政部(營造業),20220122,20270122,R-0701,廢木材,事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業)),燃料,4,公噸/月
屏東縣,T49A0234,龍文畜牧場,(904)屏東縣九如鄉玉水村九如路一段五三巷四五號,公告/附表,內政部(營造業),20221125,20271125,R-0105,廢酒糟、酒粕、酒精醪,公告可直接再利用；食品及飲料製造業在酒類釀造配製製程產生之廢酒糟、酒粕或酒精醪。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,150,公噸/月
屏東縣,T49A0234,龍文畜牧場,(904)屏東縣九如鄉玉水村九如路一段五三巷四五號,公告/附表,內政部(營造業),20221125,20271125,R-0120,植物性廢渣,公告可直接再利用：食品及飲料製造業在生產製程中所產生之植物性廢渣，其廢渣不得經化學處理，且不得含廢水處理之污泥。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,250,公噸/月
屏東縣,T49A0234,龍文畜牧場,(904)屏東縣九如鄉玉水村九如路一段五三巷四五號,公告/附表,內政部(營造業),20221125,20271125,R-0701,廢木材,"公告可直接再利用；事業產生之廢木材（板、屑、木質電桿、木質橫擔或枕木）。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部) 事業廢棄物來源：事業產生之廢木材（板、屑）(內政部(營造業))",燃料,35,公噸/月
屏東縣,T49A0234,龍文畜牧場,(904)屏東縣九如鄉玉水村九如路一段五三巷四五號,公告/附表,內政部(營造業),20221125,20271125,R-0106,廚餘,事業產生之廚餘。但依相關法規認定為有害事業廢棄物者，不適用之。(共通性),飼料,510,公噸/月
屏東縣,T49A0234,龍文畜牧場,(904)屏東縣九如鄉玉水村九如路一段五三巷四五號,公告/附表,內政部(營造業),20221125,20271125,R-0119,動物性廢渣,公告可直接再利用：食品製造業在食品加工製程產生之動物性廢渣，其廢渣不得經化學處理，且不得含廢水處理之污泥。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,250,公噸/月
屏東縣,T5405522,金鐘畜牧場,(912)屏東縣內埔鄉黎明村黎東路六五三巷三二○號,公告/附表,內政部(營造業),20231115,20281115,R-0105,廢酒糟、酒粕、酒精醪,酒精飲料製造業在酒類釀造配製製程產生之廢酒糟、酒粕或酒精醪。但依相關法規認定為有害事業廢棄物者，不適用之。(財政部),飼料,174,公噸/月
屏東縣,T5405522,金鐘畜牧場,(912)屏東縣內埔鄉黎明村黎東路六五三巷三二○號,公告/附表,內政部(營造業),20231115,20281115,R-0114,果菜殘渣,果菜批發市場所產生之果菜殘渣(農業部),直接供畜禽食用,100,公噸/月
屏東縣,T5405522,金鐘畜牧場,(912)屏東縣內埔鄉黎明村黎東路六五三巷三二○號,公告/附表,內政部(營造業),20231115,20281115,R-0119,動物性廢渣,公告可直接再利用：食品製造業在食品加工製程產生之動物性廢渣，其廢渣不得經化學處理，且不得含廢水處理之污泥。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,100,公噸/月
屏東縣,T5405522,金鐘畜牧場,(912)屏東縣內埔鄉黎明村黎東路六五三巷三二○號,公告/附表,內政部(營造業),20231115,20281115,R-0120,植物性廢渣,公告可直接再利用：食品及飲料製造業在生產製程中所產生之植物性廢渣，其廢渣不得經化學處理，且不得含廢水處理之污泥。但依相關法規認定為有害事業廢棄物者，不適用之。(經濟部),飼料,100,公噸/月
